,bin,a_eff,bin_center,bin_width,conf_lower,conf_upper,e_min,e_max
0,0,2564.150050822437,-inf,inf,1871.4285664387403,3513.2865901369382,-inf,
1,1,4045.589328403206,303.00101619226666,103.62474608261735,3197.812826002097,5118.120604181651,251.188643150958,354.8133892335753
2,2,73010.4230896194,428.0003114304239,146.37384439369714,68352.4107050008,77985.85633315612,354.8133892335753,501.18723362727246
3,3,1146694.8191957858,604.5665090057053,206.7585507568656,1124249.8419857498,1169587.7115483093,501.18723362727246,707.945784384138
4,4,8873220.929042744,853.972892192069,292.05421561586195,8798689.621288756,8948381.566931143,707.945784384138,1000.0
5,5,25828885.715857882,1206.268772311377,412.537544622754,25678024.718036752,25980624.818469197,1000.0,1412.537544622754
6,6,38324452.321272515,1703.8999297958164,582.7247703461248,38106485.19780737,38543648.9773398,1412.537544622754,1995.2623149688789
7,7,42846249.81613351,2406.822623116667,823.1206162955759,42572787.96415808,43121441.02282917,1995.2623149688789,2818.382931264455
8,8,41243812.63504587,3399.727318399714,1162.6887742705185,40924950.4576549,41565122.1330631,2818.382931264455,3981.0717055349733
9,9,38217967.88692353,4802.242478719232,1642.3415463685178,37852807.62124389,38586602.071379006,3981.0717055349733,5623.413251903491
10,10,32498424.55628554,6783.347799573156,2319.8690953393307,32098804.089062758,32902961.6173582,5623.413251903491,7943.282347242822
11,11,25186373.611955237,9581.733445131238,3276.902195776832,24768661.49681049,25611065.876677375,7943.282347242823,11220.184543019654
12,12,18660246.16995959,13534.558233815398,4628.747381591487,18234037.32140383,19096349.653127845,11220.184543019655,15848.93192461114
13,13,7137736.437056575,inf,inf,6953085.493798805,7327278.359078649,,inf
